Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2024 Australian population 
(per 100,000)"
Incidence,Melanoma of the skin,2012,Persons,New South Wales,4189,61.6
Incidence,Melanoma of the skin,2012,Persons,Victoria,2280,43.9
Incidence,Melanoma of the skin,2012,Persons,Queensland,3444,85.6
Incidence,Melanoma of the skin,2012,Persons,Western Australia,1145,55.8
Incidence,Melanoma of the skin,2012,Persons,South Australia,695,42.3
Incidence,Melanoma of the skin,2012,Persons,Tasmania,255,48.5
Incidence,Melanoma of the skin,2012,Persons,Australian Capital Territory,132,46.8
Incidence,Melanoma of the skin,2012,Persons,Northern Territory,60,46.2
Incidence,Melanoma of the skin,2013,Persons,New South Wales,4307,62.2
Incidence,Melanoma of the skin,2013,Persons,Victoria,2332,44.1
Incidence,Melanoma of the skin,2013,Persons,Queensland,3693,89.3
Incidence,Melanoma of the skin,2013,Persons,Western Australia,1312,62.9
Incidence,Melanoma of the skin,2013,Persons,South Australia,721,42.9
Incidence,Melanoma of the skin,2013,Persons,Tasmania,275,51.7
Incidence,Melanoma of the skin,2013,Persons,Australian Capital Territory,135,46.9
Incidence,Melanoma of the skin,2013,Persons,Northern Territory,63,46.6
Incidence,Melanoma of the skin,2014,Persons,New South Wales,4355,61.6
Incidence,Melanoma of the skin,2014,Persons,Victoria,2466,45.4
Incidence,Melanoma of the skin,2014,Persons,Queensland,3706,87.7
Incidence,Melanoma of the skin,2014,Persons,Western Australia,1300,60.3
Incidence,Melanoma of the skin,2014,Persons,South Australia,788,46.4
Incidence,Melanoma of the skin,2014,Persons,Tasmania,332,61.3
Incidence,Melanoma of the skin,2014,Persons,Australian Capital Territory,144,49.1
Incidence,Melanoma of the skin,2014,Persons,Northern Territory,68,49.1
Incidence,Melanoma of the skin,2015,Persons,New South Wales,4361,60.7
Incidence,Melanoma of the skin,2015,Persons,Victoria,2695,48.6
Incidence,Melanoma of the skin,2015,Persons,Queensland,3753,86.3
Incidence,Melanoma of the skin,2015,Persons,Western Australia,1564,71.5
Incidence,Melanoma of the skin,2015,Persons,South Australia,766,44.1
Incidence,Melanoma of the skin,2015,Persons,Tasmania,302,55.2
Incidence,Melanoma of the skin,2015,Persons,Australian Capital Territory,153,50.8
Incidence,Melanoma of the skin,2015,Persons,Northern Territory,75,53.9
Incidence,Melanoma of the skin,2016,Persons,New South Wales,4785,65.1
Incidence,Melanoma of the skin,2016,Persons,Victoria,2820,49.2
Incidence,Melanoma of the skin,2016,Persons,Queensland,3964,89.3
Incidence,Melanoma of the skin,2016,Persons,Western Australia,1536,68.6
Incidence,Melanoma of the skin,2016,Persons,South Australia,804,45.5
Incidence,Melanoma of the skin,2016,Persons,Tasmania,333,60.7
Incidence,Melanoma of the skin,2016,Persons,Australian Capital Territory,167,54.1
Incidence,Melanoma of the skin,2016,Persons,Northern Territory,82,56.3
Incidence,Melanoma of the skin,2017,Persons,New South Wales,4932,65.9
Incidence,Melanoma of the skin,2017,Persons,Victoria,2983,51.0
Incidence,Melanoma of the skin,2017,Persons,Queensland,4148,90.5
Incidence,Melanoma of the skin,2017,Persons,Western Australia,1453,63.5
Incidence,Melanoma of the skin,2017,Persons,South Australia,799,44.6
Incidence,Melanoma of the skin,2017,Persons,Tasmania,339,59.2
Incidence,Melanoma of the skin,2017,Persons,Australian Capital Territory,184,58.0
Incidence,Melanoma of the skin,2017,Persons,Northern Territory,81,55.2
Incidence,Melanoma of the skin,2018,Persons,New South Wales,5005,65.5
Incidence,Melanoma of the skin,2018,Persons,Victoria,3078,51.5
Incidence,Melanoma of the skin,2018,Persons,Queensland,4072,86.9
Incidence,Melanoma of the skin,2018,Persons,Western Australia,1484,63.1
Incidence,Melanoma of the skin,2018,Persons,South Australia,785,42.8
Incidence,Melanoma of the skin,2018,Persons,Tasmania,401,68.5
Incidence,Melanoma of the skin,2018,Persons,Australian Capital Territory,195,59.6
Incidence,Melanoma of the skin,2018,Persons,Northern Territory,83,54.4
Incidence,Melanoma of the skin,2019,Persons,New South Wales,5089,65.4
Incidence,Melanoma of the skin,2019,Persons,Victoria,2834,46.5
Incidence,Melanoma of the skin,2019,Persons,Queensland,4446,92.3
Incidence,Melanoma of the skin,2019,Persons,Western Australia,1621,66.5
Incidence,Melanoma of the skin,2019,Persons,South Australia,902,48.0
Incidence,Melanoma of the skin,2019,Persons,Tasmania,412,69.2
Incidence,Melanoma of the skin,2019,Persons,Australian Capital Territory,205,61.1
Incidence,Melanoma of the skin,2019,Persons,Northern Territory,88,56.5
Incidence,Melanoma of the skin,2020,Persons,New South Wales,4918,61.7
Incidence,Melanoma of the skin,2020,Persons,Victoria,2586,41.2
Incidence,Melanoma of the skin,2020,Persons,Queensland,4169,83.8
Incidence,Melanoma of the skin,2020,Persons,Western Australia,1417,56.2
Incidence,Melanoma of the skin,2020,Persons,South Australia,891,46.3
Incidence,Melanoma of the skin,2020,Persons,Tasmania,428,70.3
Incidence,Melanoma of the skin,2020,Persons,Australian Capital Territory,205,59.0
Incidence,Melanoma of the skin,2020,Persons,Northern Territory,88,54.0
