Cancer group,Year,State ,Count,"ASR
(per 100,000)"
Melanoma of the skin,2012,New South Wales,4189,61.6
Melanoma of the skin,2012,Victoria,2280,43.9
Melanoma of the skin,2012,Queensland,3444,85.6
Melanoma of the skin,2012,Western Australia,1145,55.8
Melanoma of the skin,2012,South Australia,695,42.3
Melanoma of the skin,2012,Tasmania,255,48.5
Melanoma of the skin,2012,Australian Capital Territory,132,46.8
Melanoma of the skin,2012,Northern Territory,60,46.2
Melanoma of the skin,2013,New South Wales,4307,62.2
Melanoma of the skin,2013,Victoria,2332,44.1
Melanoma of the skin,2013,Queensland,3693,89.3
Melanoma of the skin,2013,Western Australia,1312,62.9
Melanoma of the skin,2013,South Australia,721,42.9
Melanoma of the skin,2013,Tasmania,275,51.7
Melanoma of the skin,2013,Australian Capital Territory,135,46.9
Melanoma of the skin,2013,Northern Territory,63,46.6
Melanoma of the skin,2014,New South Wales,4355,61.6
Melanoma of the skin,2014,Victoria,2466,45.4
Melanoma of the skin,2014,Queensland,3706,87.7
Melanoma of the skin,2014,Western Australia,1300,60.3
Melanoma of the skin,2014,South Australia,788,46.4
Melanoma of the skin,2014,Tasmania,332,61.3
Melanoma of the skin,2014,Australian Capital Territory,144,49.1
Melanoma of the skin,2014,Northern Territory,68,49.1
Melanoma of the skin,2015,New South Wales,4361,60.7
Melanoma of the skin,2015,Victoria,2695,48.6
Melanoma of the skin,2015,Queensland,3753,86.3
Melanoma of the skin,2015,Western Australia,1564,71.5
Melanoma of the skin,2015,South Australia,766,44.1
Melanoma of the skin,2015,Tasmania,302,55.2
Melanoma of the skin,2015,Australian Capital Territory,153,50.8
Melanoma of the skin,2015,Northern Territory,75,53.9
Melanoma of the skin,2016,New South Wales,4785,65.1
Melanoma of the skin,2016,Victoria,2820,49.2
Melanoma of the skin,2016,Queensland,3964,89.3
Melanoma of the skin,2016,Western Australia,1536,68.6
Melanoma of the skin,2016,South Australia,804,45.5
Melanoma of the skin,2016,Tasmania,333,60.7
Melanoma of the skin,2016,Australian Capital Territory,167,54.1
Melanoma of the skin,2016,Northern Territory,82,56.3
Melanoma of the skin,2017,New South Wales,4932,65.9
Melanoma of the skin,2017,Victoria,2983,51.0
Melanoma of the skin,2017,Queensland,4148,90.5
Melanoma of the skin,2017,Western Australia,1453,63.5
Melanoma of the skin,2017,South Australia,799,44.6
Melanoma of the skin,2017,Tasmania,339,59.2
Melanoma of the skin,2017,Australian Capital Territory,184,58.0
Melanoma of the skin,2017,Northern Territory,81,55.2
Melanoma of the skin,2018,New South Wales,5005,65.5
Melanoma of the skin,2018,Victoria,3078,51.5
Melanoma of the skin,2018,Queensland,4072,86.9
Melanoma of the skin,2018,Western Australia,1484,63.1
Melanoma of the skin,2018,South Australia,785,42.8
Melanoma of the skin,2018,Tasmania,401,68.5
Melanoma of the skin,2018,Australian Capital Territory,195,59.6
Melanoma of the skin,2018,Northern Territory,83,54.4
Melanoma of the skin,2019,New South Wales,5089,65.4
Melanoma of the skin,2019,Victoria,2834,46.5
Melanoma of the skin,2019,Queensland,4446,92.3
Melanoma of the skin,2019,Western Australia,1621,66.5
Melanoma of the skin,2019,South Australia,902,48.0
Melanoma of the skin,2019,Tasmania,412,69.2
Melanoma of the skin,2019,Australian Capital Territory,205,61.1
Melanoma of the skin,2019,Northern Territory,88,56.5
Melanoma of the skin,2020,New South Wales,4918,61.7
Melanoma of the skin,2020,Victoria,2586,41.2
Melanoma of the skin,2020,Queensland,4169,83.8
Melanoma of the skin,2020,Western Australia,1417,56.2
Melanoma of the skin,2020,South Australia,891,46.3
Melanoma of the skin,2020,Tasmania,428,70.3
Melanoma of the skin,2020,Australian Capital Territory,205,59.0
Melanoma of the skin,2020,Northern Territory,88,54.0
